Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
DoubleDecker Cake and Coffee,Pastry shop,4.7,2381,$$$,True,True,True
Dim Kavy,Store,4.9,39,,,,
Бамбук,Cafe,4.1,189,$$,,True,True
I feel city cafe,Cafe,4.5,1529,$$,True,True,True
Coffee Secrets,Cafe,4.6,38,,,True,True
Horizontal kaffee,Cafe,5,37,,False,True,
"Coffee&Cake, Game zone PS4",Coffee shop,,,,,,
Zeffirino,Coffee shop,4.6,830,$$,,True,True
Coffee Life,Cafe,4,170,$$,,True,True
The sisters,Cafe,4.7,155,$$,False,True,True
"""Франс.уа"" кофейня-пекарня",Cafe,3.9,9,,False,,True
Tsikava Kava,Coffee store,4.7,185,,True,True,
Try Bobry,Coffee shop,4.6,2013,$$,False,True,True
Pa-si-ju Кафе,Cafe,4.6,1051,$$,True,True,True
Колибри,Cafe,5,18,,,True,True
Artist,Restaurant,4.6,963,$$$,,True,True
Dream Cafe,Cafe,4.3,646,$$,False,True,True
РУТА КАФЕ ПП КУЛІЧЕНКО К.І.,Cafe,4.6,16,$$,False,True,True
Ob'yektna Kava,Coffee shop,4.7,599,$$,,True,True
О...МАРАТ КАФЕ ПП ПОЛІСТЕП,Cafe,4.3,341,,,True,
