Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
КофеТочка Харьков - интернет-магазин кофе и кофеоборудования,Coffee store,3.9,10,,,,
Coffee House,Espresso bar,4.5,268,$$,,,
Sweeter,Coffee shop,4.6,642,$$,False,True,True
Workshop coffee,Coffee shop,4.7,400,$$,False,True,True
Мастерская Кофе,Coffee shop,4.7,403,$$,False,True,True
Kofeyin,Coffee shop,4.5,2914,$$,False,True,True
Dom Kofe,Coffee shop,4.6,40,,,,
coffee House,Cafe,4.6,96,$$,False,,
Cats and coffee | Киці та кава,Espresso bar,4.6,1394,,True,True,True
CoffeeDoor Brewbar & Coffeeshop,Coffee shop,4.7,512,$$,False,True,True
"Dom Kofe, Mah.",Coffee shop,4.3,3,,,,
Dim Kavy,Espresso bar,4.7,185,$$,,,
Dim Kavy,Coffee store,4.7,222,,,True,True
Sweeter,Coffee shop,4.6,289,$$,False,True,True
Kava U Shafi,Coffee shop,4.6,702,$$,,True,
Coffeelaktika,Coffee shop,4.8,261,$$,False,True,True
"Caffissimo, КОФЕЙНЯ",Coffee shop,4.6,118,$$,True,True,True
Coffeelaktika coffee studio,Coffee shop,4.5,121,$$,False,True,True
KOFEiN®,Coffee shop,4.6,1758,$$,,True,True
Mr. Bourbon,Coffee shop,4.7,551,$$,False,True,True
