Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
Dim Kavu,Coffee store,4.6,206,,,,
Коферум,Cafe,5,24,$$,False,,True
Кофейня Світ Чаю,Coffee shop,5,11,,,,True
Кофейня Starcoff,Coffee shop,4.4,331,$$,False,True,True
"Кофейня ""Friend Zone""",Coffee shop,5,12,,,True,True
Racers Coffee Shop,Espresso bar,4.6,367,$$,False,True,True
Займемся Кофе,Coffee shop,4.6,200,$$,False,True,True
Кофейня Rit Rit,Coffee shop,4.6,292,$$,False,,True
Кав'ярня My coffee,Coffee shop,4.8,31,,,True,True
LENЬ. Coffee & desserts.,Coffee shop,4.8,125,$$,True,True,True
SOVA COFFEE,Coffee shop,4.8,112,,,True,True
Кава Тайм,Coffee shop,4.9,14,,,,True
Skver кафе,Cafe,4.9,18,,False,True,True
Кафе на Георгіївській,Cafe,4.5,806,$,,True,True
Khosper,Cafe,4.2,609,$$,,True,True
Lekontina Шоколадна Майстерня,Cafe,4.7,172,$$,True,True,True
Lecker,Cafe,4.8,234,$$,True,True,True
Veterano Coffee,Coffee shop,4.5,136,$$,False,,True
VEIN,Cafe,4.5,166,$$,True,True,True
Coffee Drive,Coffee shop,4.8,10,,False,True,True
