Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
Смажимо каву в Одесі. Обсмажувальна №2,Coffee shop,4.7,335,$$,False,True,True
Traveler`s Coffee,Coffee shop,4.6,2700,$$,True,True,True
Кофе База Одесса | Coffee Baza,Store,5,10,,,,
We Roast Coffee in Odessa,Coffee shop,4.5,122,,False,True,True
Burso_Coffee,Coffee shop,5,21,,,True,True
Foundation Coffee Roasters,Espresso bar,4.7,1415,$$,True,True,
Red Cup Coffee Roasters,Coffee roasters,5,15,,,,
Krem Kafe,Coffee shop,4.9,64,,,True,
FAB.,Pastry shop,4.9,47,,,True,True
Zheto,Coffee shop,4.8,2141,$$,,True,True
Eclair&Coffee,Espresso bar,4.9,36,,,,
Coffee Room,Coffee shop,4.7,202,$$,False,True,True
Смажимо каву. Обсмажувальна N3,Coffee shop,4.6,113,$$,,,
kofevarka.odessa.ua,Coffee store,4.6,111,,True,,
Anso Coffee,Coffee shop,4.9,40,,,True,
Pasadena Coffee,Coffee shop,4.9,39,,False,True,
Coffeetory Кофетория,Coffee shop,4.6,789,$$,True,True,True
MY COFFEE,Coffee shop,4.8,150,$$,False,True,True
Жарим Кофе в Одессе. Обжарочная №4,Coffee shop,4.7,80,,,,
Coffee break ZAVIDA,Coffee shop,4.9,10,,,,
