Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
Comeback coffee & more,Cafe,4.8,807,$$,False,True,True
"Мастерская ""Кофе на разлив""",Appliance repair service,5,15,,,,
Coffeelab Roasters,Coffee shop,4.7,837,$$,False,True,True
Столовая BUFET,Cafe,5,440,,True,True,True
Svit kavy,Coffee shop,4.6,488,$$,False,True,True
"Интернет-магазин ""Kava-e""",Coffee store,4.7,121,,,,
Coffee House,Store,4.7,132,,,,
Coffeeсть,Coffee shop,4.6,38,,,True,True
Caffisimo,Espresso bar,4.5,223,$$,,,
Art Coffee - Інтернет Магазин Кави та Чаю,Internet shop,5,12,,True,,
MY COFFEE,Coffee shop,4.5,341,$$,False,True,True
Dim Kavy,Espresso bar,4.8,118,$$,,,
LittleTalk Coffee,Coffee shop,4.6,414,$$,False,True,True
The Boiler Room,Coffee shop,4.8,98,,,True,
Cholla & Joshua,Espresso bar,4.6,1482,$$,False,True,
Jays : Coffee Brewers,Coffee stand,4.5,167,$$,,,True
Art Coffee,Espresso bar,4.6,11,,,,
Dobra Kava,Cafe,4.3,1656,$$,True,True,
Coffeeshop GRANO,Cafe,4.9,14,,False,,True
"Kaffe ""Na Peskah""",Cafe,4.2,385,$$,False,True,True
